-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2023 in LST
Location: Latitude  -72.5   Longitude 180.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,4.79,2.6,1.38,0.38,0.01,0.0,0.0,0.3,1.81,4.48,6.35,6.52,2.38
ALLSKY_SFC_SW_DWN,2001,5.26,3.51,1.62,0.46,0.01,0.0,0.0,0.2,1.63,3.97,6.71,5.87,2.44
ALLSKY_SFC_SW_DWN,2002,4.73,3.4,1.14,0.28,0.01,0.0,0.0,0.14,1.52,3.7,5.51,6.59,2.25
ALLSKY_SFC_SW_DWN,2003,4.68,2.57,1.92,0.48,0.01,0.0,0.0,0.15,1.55,3.9,5.9,6.7,2.32
ALLSKY_SFC_SW_DWN,2004,4.21,2.64,1.81,0.53,0.01,0.0,0.0,0.16,1.68,3.78,5.76,6.2,2.23
ALLSKY_SFC_SW_DWN,2005,4.34,2.98,1.14,0.44,0.01,0.0,0.0,0.14,1.67,3.71,6.11,5.16,2.14
ALLSKY_SFC_SW_DWN,2006,4.48,2.55,1.0,0.36,0.01,0.0,0.0,0.15,1.57,3.78,6.37,6.88,2.26
ALLSKY_SFC_SW_DWN,2007,4.39,2.53,1.53,0.45,0.01,0.0,0.0,0.16,1.54,3.81,6.67,7.55,2.39
ALLSKY_SFC_SW_DWN,2008,4.21,2.62,1.99,0.49,0.01,0.0,0.0,0.17,1.73,3.95,6.34,7.2,2.39
ALLSKY_SFC_SW_DWN,2009,4.78,2.22,1.21,0.44,0.01,0.0,0.0,0.2,1.67,4.0,5.69,5.16,2.11
ALLSKY_SFC_SW_DWN,2010,3.52,2.65,1.64,0.61,0.01,0.0,0.0,0.16,1.67,3.94,6.33,5.76,2.19
ALLSKY_SFC_SW_DWN,2011,4.63,2.33,0.99,0.31,0.01,0.0,0.0,0.16,1.46,4.06,6.79,6.53,2.27
ALLSKY_SFC_SW_DWN,2012,4.98,2.85,1.22,0.42,0.01,0.0,0.0,0.15,1.42,3.77,6.67,7.18,2.39
ALLSKY_SFC_SW_DWN,2013,3.68,2.39,1.56,0.54,0.01,0.0,0.0,0.17,1.63,4.1,6.06,5.61,2.15
ALLSKY_SFC_SW_DWN,2014,5.05,2.86,1.01,0.42,0.01,0.0,0.0,0.16,1.73,3.73,6.82,8.11,2.49
ALLSKY_SFC_SW_DWN,2015,4.18,2.62,1.46,0.57,0.01,0.0,0.0,0.16,1.62,3.79,6.25,5.73,2.2
ALLSKY_SFC_SW_DWN,2016,3.54,2.97,1.36,0.42,0.01,0.0,0.0,0.16,1.62,3.84,6.61,6.61,2.26
ALLSKY_SFC_SW_DWN,2017,3.63,2.54,1.09,0.27,0.01,0.0,0.0,0.14,1.59,4.06,6.23,6.41,2.16
ALLSKY_SFC_SW_DWN,2018,4.76,2.77,1.17,0.41,0.01,0.0,0.0,0.19,1.56,3.88,6.23,5.93,2.24
ALLSKY_SFC_SW_DWN,2019,3.87,2.52,0.99,0.37,0.01,0.0,0.0,0.13,1.53,3.7,6.35,6.26,2.14
ALLSKY_SFC_SW_DWN,2020,4.42,2.91,1.29,0.5,0.01,0.0,0.0,0.17,1.6,3.99,5.49,6.35,2.23
ALLSKY_SFC_SW_DWN,2021,5.18,2.75,1.19,0.37,0.01,0.0,0.0,0.16,1.55,3.88,6.48,5.95,2.29
ALLSKY_SFC_SW_DWN,2022,5.05,2.79,1.18,0.3,0.01,0.0,0.0,0.18,1.5,3.73,5.98,6.47,2.27
ALLSKY_SFC_SW_DWN,2023,4.64,2.79,1.12,0.46,0.01,0.0,0.0,0.18,1.51,3.46,6.39,5.81,2.2
PRECTOTCORR,2000,0.57,1.59,1.61,1.54,2.01,0.51,1.58,0.94,1.39,1.14,1.27,0.7,1.24
PRECTOTCORR,2001,1.68,0.96,2.11,2.91,0.47,1.26,0.78,1.61,0.28,1.58,1.26,1.95,1.4
PRECTOTCORR,2002,1.12,1.6,2.84,1.17,2.73,3.35,0.86,0.73,1.98,2.11,1.71,1.36,1.8
PRECTOTCORR,2003,1.35,1.68,1.98,0.97,1.55,1.52,1.26,1.33,1.65,0.96,2.8,1.8,1.57
PRECTOTCORR,2004,2.56,3.19,2.55,0.66,0.53,1.86,1.37,1.27,1.07,0.61,1.22,0.51,1.45
PRECTOTCORR,2005,1.4,1.72,1.36,1.0,1.57,2.34,1.64,1.99,0.35,0.46,0.72,1.51,1.34
PRECTOTCORR,2006,2.13,2.51,2.19,1.31,1.9,1.04,0.75,1.2,1.1,0.87,1.27,1.05,1.44
PRECTOTCORR,2007,1.04,1.34,2.73,0.95,0.32,0.66,1.49,1.15,0.91,1.51,0.69,0.8,1.13
PRECTOTCORR,2008,1.85,1.67,1.31,1.52,1.07,1.63,1.42,0.8,0.34,1.01,1.5,1.11,1.27
PRECTOTCORR,2009,1.18,2.11,1.8,1.26,0.91,1.37,1.57,1.16,0.63,2.06,1.15,0.86,1.34
PRECTOTCORR,2010,3.57,1.79,1.5,0.99,0.35,0.75,0.64,0.8,1.02,1.02,0.49,0.48,1.12
PRECTOTCORR,2011,0.84,1.79,2.98,1.92,1.94,1.6,0.97,0.56,1.36,0.83,0.44,0.72,1.33
PRECTOTCORR,2012,0.85,1.34,2.27,1.03,1.72,1.54,0.64,1.76,1.92,1.33,1.28,0.53,1.35
PRECTOTCORR,2013,1.4,1.64,2.14,1.72,1.76,2.02,0.69,0.98,0.78,0.44,0.94,1.07,1.3
PRECTOTCORR,2014,1.33,1.88,2.55,0.56,0.58,0.63,1.41,1.04,0.61,2.36,1.37,0.72,1.25
PRECTOTCORR,2015,1.53,1.45,1.51,1.11,1.17,1.56,1.06,2.05,1.67,1.31,0.8,1.07,1.36
PRECTOTCORR,2016,2.59,0.99,1.5,1.49,0.49,0.62,2.04,1.45,1.55,1.76,1.58,0.7,1.4
PRECTOTCORR,2017,2.89,1.83,1.68,2.19,0.99,1.01,1.1,1.74,0.73,1.21,0.56,0.75,1.39
PRECTOTCORR,2018,1.62,1.41,1.82,1.54,0.65,0.66,2.03,1.32,2.09,0.83,0.62,1.13,1.31
PRECTOTCORR,2019,2.21,1.93,3.26,0.93,0.73,1.06,1.61,2.54,0.76,1.3,0.9,1.57,1.57
PRECTOTCORR,2020,1.01,1.95,1.79,0.93,0.97,0.51,1.87,1.78,1.17,0.54,1.24,1.3,1.25
PRECTOTCORR,2021,1.72,1.27,2.49,3.14,1.28,1.05,1.37,1.51,1.36,0.36,0.77,0.56,1.41
PRECTOTCORR,2022,0.71,1.31,1.79,1.63,0.72,0.69,0.61,0.9,0.98,1.32,2.01,1.29,1.16
PRECTOTCORR,2023,1.11,0.7,2.22,1.86,1.76,1.25,3.01,1.76,1.46,1.56,1.01,0.73,1.54
PS,2000,98.16,98.35,98.53,98.12,98.27,99.02,98.54,98.51,99.19,97.89,97.98,99.92,98.54
PS,2001,99.54,99.3,98.73,98.14,98.9,98.3,98.82,98.59,98.37,97.41,97.82,97.96,98.49
PS,2002,98.62,98.22,99.01,98.13,98.83,99.15,99.22,98.25,98.47,99.09,98.55,98.15,98.64
PS,2003,99.33,99.08,98.77,98.06,97.36,99.18,98.01,98.36,97.89,97.69,97.83,99.4,98.41
PS,2004,98.6,99.46,98.51,98.45,98.75,98.0,98.08,98.58,98.52,98.17,97.93,99.5,98.55
PS,2005,98.75,98.21,98.54,98.38,98.27,98.83,98.19,97.76,98.21,97.8,98.28,99.64,98.41
PS,2006,98.78,98.81,98.73,99.16,98.13,98.3,98.31,99.09,98.3,97.79,97.95,98.81,98.51
PS,2007,98.67,98.51,99.16,98.69,99.12,98.76,99.77,98.37,98.14,98.42,98.59,98.06,98.69
PS,2008,98.03,98.08,98.75,98.78,98.96,97.73,98.49,98.92,97.92,97.7,98.09,98.41,98.32
PS,2009,98.44,98.33,98.36,98.39,99.42,99.18,99.21,99.18,98.73,97.72,98.25,98.51,98.64
PS,2010,99.67,99.07,98.34,98.36,98.76,98.12,97.4,98.04,98.25,98.04,97.8,99.1,98.41
PS,2011,99.28,98.45,98.59,99.03,98.01,98.83,98.35,99.13,98.96,98.23,98.76,98.07,98.64
PS,2012,98.14,98.57,98.43,98.47,98.03,99.32,98.63,98.64,97.89,97.86,98.82,99.24,98.5
PS,2013,98.97,97.91,97.87,98.43,98.27,99.4,98.37,99.6,99.28,98.56,98.21,98.85,98.64
PS,2014,98.94,98.5,98.24,98.64,98.67,98.73,98.82,97.44,98.6,97.37,98.72,98.65,98.44
PS,2015,98.55,97.82,98.57,98.28,98.76,98.41,98.04,98.03,97.96,97.76,97.73,98.78,98.23
PS,2016,97.83,98.32,98.09,98.46,98.95,98.22,98.96,99.03,97.49,98.11,99.49,99.07,98.5
PS,2017,98.95,98.84,98.66,98.32,97.8,98.59,98.31,97.73,98.28,98.15,97.95,98.64,98.35
PS,2018,98.49,98.26,98.35,98.98,98.68,98.76,98.55,99.36,97.53,97.52,97.97,98.31,98.4
PS,2019,98.47,98.79,98.46,98.45,98.69,97.57,98.87,97.86,97.49,98.21,99.45,99.62,98.49
PS,2020,99.36,98.36,97.82,98.67,98.44,98.16,98.3,98.24,98.34,97.46,97.88,97.87,98.24
PS,2021,98.44,98.12,98.57,98.04,98.54,98.55,98.79,99.0,97.59,98.31,97.75,97.56,98.27
PS,2022,98.54,98.15,98.15,98.05,98.09,99.25,97.95,98.07,97.68,98.01,97.92,97.92,98.15
PS,2023,98.08,98.68,98.65,99.44,98.41,99.29,98.63,98.97,97.77,97.7,98.33,97.97,98.49
RH2M,2000,78.05,80.4,81.12,90.28,93.42,94.38,92.73,94.22,91.44,85.96,84.34,84.79,87.59
RH2M,2001,88.48,82.82,89.5,94.31,92.95,93.68,92.97,97.84,89.13,82.28,81.92,88.28,89.51
RH2M,2002,86.19,77.85,85.12,91.17,91.2,97.27,95.94,95.99,92.91,88.81,88.48,85.89,89.73
RH2M,2003,89.68,84.07,89.67,93.31,91.08,93.83,91.1,96.35,94.06,80.72,86.81,85.34,89.67
RH2M,2004,86.63,84.16,90.48,93.9,94.74,94.36,98.22,96.62,94.2,85.15,83.65,86.64,90.73
RH2M,2005,85.65,80.53,82.27,92.01,93.53,95.04,95.19,95.3,94.57,86.96,82.71,87.85,89.3
RH2M,2006,84.31,82.49,81.44,93.74,97.93,96.05,98.34,94.14,91.75,86.55,84.17,82.97,89.49
RH2M,2007,87.66,85.8,88.34,94.19,95.75,92.43,94.99,92.4,90.84,87.62,84.43,84.1,89.88
RH2M,2008,88.16,84.26,92.52,94.34,94.34,93.98,95.86,96.78,90.62,86.01,82.06,84.79,90.31
RH2M,2009,84.49,85.3,82.5,92.58,95.48,95.15,95.4,96.41,92.39,87.27,84.7,84.91,89.72
RH2M,2010,90.02,83.42,91.85,94.11,94.96,95.3,95.55,95.89,94.84,86.58,79.72,81.97,90.35
RH2M,2011,86.21,81.1,86.01,95.28,95.79,94.94,95.07,96.14,94.03,86.86,84.44,84.61,90.04
RH2M,2012,86.23,81.48,82.2,93.44,93.03,95.89,95.82,95.22,91.63,86.01,83.34,87.09,89.28
RH2M,2013,86.09,83.39,88.77,92.8,95.19,96.57,96.87,96.14,92.41,86.84,79.44,84.58,89.92
RH2M,2014,83.56,80.09,84.97,94.93,95.34,95.07,96.66,92.25,90.48,88.69,85.61,83.29,89.24
RH2M,2015,86.18,82.95,87.72,93.57,93.99,93.15,96.17,95.09,95.14,86.9,80.55,85.99,89.78
RH2M,2016,89.6,79.5,83.88,93.58,95.68,95.03,95.09,96.01,92.65,87.15,85.78,85.82,89.98
RH2M,2017,88.64,81.77,81.99,91.31,91.95,94.3,95.92,95.95,94.82,88.21,83.26,84.8,89.41
RH2M,2018,86.57,80.26,82.48,91.68,95.88,95.3,95.92,96.53,92.22,87.12,81.78,86.94,89.39
RH2M,2019,86.59,83.15,83.55,93.82,94.86,94.91,96.55,94.2,91.64,85.06,83.79,87.31,89.62
RH2M,2020,85.44,84.54,86.47,91.49,95.71,94.09,94.01,96.41,92.21,83.41,80.08,86.08,89.16
RH2M,2021,84.55,81.4,85.09,94.09,95.67,96.03,94.44,96.95,91.91,83.05,81.5,81.51,88.85
RH2M,2022,80.65,83.97,80.69,94.27,95.08,94.82,95.33,93.54,92.87,87.83,86.24,87.27,89.38
RH2M,2023,81.64,76.83,83.95,93.56,95.12,94.02,97.15,96.39,92.63,85.91,81.47,83.88,88.55
T2M,2000,-1.89,-2.33,-4.56,-13.26,-15.52,-21.14,-18.89,-19.63,-16.71,-13.27,-5.43,-2.22,-11.24
T2M,2001,-2.06,-3.43,-9.78,-15.79,-19.04,-17.51,-18.6,-23.4,-20.38,-11.84,-6.13,-1.86,-12.49
T2M,2002,-1.19,-2.31,-3.87,-12.23,-12.69,-15.86,-22.42,-25.78,-14.65,-10.69,-4.34,-2.95,-10.75
T2M,2003,-1.63,-3.28,-11.25,-19.83,-17.09,-18.08,-19.67,-23.92,-19.55,-13.22,-5.81,-1.76,-12.92
T2M,2004,-1.74,-2.86,-10.33,-17.07,-21.67,-18.08,-25.65,-22.32,-20.02,-14.0,-5.9,-1.96,-13.47
T2M,2005,-1.44,-2.34,-6.96,-17.65,-17.07,-16.37,-16.77,-18.55,-20.31,-12.05,-6.7,-1.65,-11.49
T2M,2006,-1.27,-1.77,-4.45,-17.29,-21.26,-20.73,-26.59,-18.97,-18.76,-13.79,-6.57,-3.23,-12.89
