-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2023 in LST
Location: Latitude  -75.83   Longitude -180.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,4.64,2.48,1.41,0.25,0.0,0.0,0.0,0.12,1.28,3.94,6.09,6.89,2.26
ALLSKY_SFC_SW_DWN,2001,4.2,2.76,1.92,0.22,0.0,0.0,0.0,0.07,1.16,3.44,5.68,5.92,2.11
ALLSKY_SFC_SW_DWN,2002,4.64,2.83,1.15,0.22,0.0,0.0,0.0,0.05,1.21,3.53,6.49,7.92,2.34
ALLSKY_SFC_SW_DWN,2003,3.3,2.14,2.01,0.27,0.0,0.0,0.0,0.07,1.44,3.52,4.8,6.93,2.04
ALLSKY_SFC_SW_DWN,2004,3.53,2.42,1.75,0.24,0.0,0.0,0.0,0.07,1.44,3.69,5.04,5.61,1.98
ALLSKY_SFC_SW_DWN,2005,3.93,2.73,1.27,0.24,0.0,0.0,0.0,0.06,1.36,3.27,4.92,4.83,1.88
ALLSKY_SFC_SW_DWN,2006,4.42,2.68,1.05,0.23,0.0,0.0,0.0,0.06,1.04,3.81,6.01,5.05,2.03
ALLSKY_SFC_SW_DWN,2007,4.57,2.3,1.49,0.25,0.0,0.0,0.0,0.05,1.34,3.66,6.56,6.26,2.21
ALLSKY_SFC_SW_DWN,2008,3.74,2.58,1.85,0.23,0.0,0.0,0.0,0.09,1.25,3.56,6.23,5.55,2.09
ALLSKY_SFC_SW_DWN,2009,4.56,2.42,1.26,0.19,0.0,0.0,0.0,0.08,1.33,3.55,4.66,5.16,1.93
ALLSKY_SFC_SW_DWN,2010,3.93,2.44,1.55,0.28,0.0,0.0,0.0,0.07,1.4,3.69,4.67,4.98,1.92
ALLSKY_SFC_SW_DWN,2011,4.65,2.59,0.98,0.2,0.0,0.0,0.0,0.06,1.21,3.85,5.98,5.59,2.09
ALLSKY_SFC_SW_DWN,2012,4.77,2.68,1.05,0.2,0.0,0.0,0.0,0.06,1.32,3.84,6.18,4.5,2.05
ALLSKY_SFC_SW_DWN,2013,3.92,2.4,1.44,0.27,0.0,0.0,0.0,0.08,1.34,3.8,4.71,5.82,1.98
ALLSKY_SFC_SW_DWN,2014,4.45,2.45,1.15,0.26,0.0,0.0,0.0,0.06,1.34,3.53,6.89,6.39,2.21
ALLSKY_SFC_SW_DWN,2015,4.26,2.57,1.42,0.25,0.0,0.0,0.0,0.06,1.24,3.53,5.45,6.09,2.07
ALLSKY_SFC_SW_DWN,2016,3.74,2.67,1.34,0.2,0.0,0.0,0.0,0.06,1.21,3.34,5.52,4.99,1.92
ALLSKY_SFC_SW_DWN,2017,4.61,2.78,0.93,0.17,0.0,0.0,0.0,0.06,1.25,3.72,5.32,5.21,2.0
ALLSKY_SFC_SW_DWN,2018,4.09,2.6,1.07,0.22,0.0,0.0,0.0,0.06,1.17,3.62,4.92,5.66,1.95
ALLSKY_SFC_SW_DWN,2019,4.05,2.18,1.0,0.26,0.0,0.0,0.0,0.05,1.11,3.46,4.91,5.49,1.88
ALLSKY_SFC_SW_DWN,2020,4.18,2.76,1.35,0.22,0.0,0.0,0.0,0.06,1.27,3.79,6.06,5.3,2.08
ALLSKY_SFC_SW_DWN,2021,4.44,2.71,1.47,0.19,0.0,0.0,0.0,0.08,1.1,3.51,4.3,4.32,1.84
ALLSKY_SFC_SW_DWN,2022,5.04,2.9,1.18,0.18,0.0,0.0,0.0,0.07,1.23,3.42,6.16,5.35,2.13
ALLSKY_SFC_SW_DWN,2023,4.88,2.86,1.32,0.25,0.0,0.0,0.0,0.07,1.0,3.31,5.83,5.47,2.08
PRECTOTCORR,2000,0.5,1.11,1.11,1.14,1.02,0.63,0.86,0.96,0.94,0.68,1.26,0.44,0.89
PRECTOTCORR,2001,0.72,0.44,0.46,1.38,0.5,0.96,0.77,0.37,0.41,0.76,0.47,1.04,0.69
PRECTOTCORR,2002,0.8,0.44,1.59,0.97,1.53,1.45,0.5,0.86,0.89,1.05,1.53,0.58,1.02
PRECTOTCORR,2003,1.44,0.45,1.18,0.49,1.15,1.13,1.07,0.57,1.61,0.64,1.77,0.54,1.0
PRECTOTCORR,2004,0.75,0.87,0.6,0.66,0.76,1.3,0.89,0.69,0.66,0.5,0.37,0.3,0.7
