-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2023 in LST
Location: Latitude  -82.5   Longitude -90.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1691.28 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,8.74,4.88,1.08,0.01,0.0,0.0,0.0,0.0,0.44,3.18,7.2,9.54,2.92
ALLSKY_SFC_SW_DWN,2001,9.05,5.13,1.12,0.01,0.0,0.0,0.0,0.0,0.41,3.06,7.47,9.87,3.01
ALLSKY_SFC_SW_DWN,2002,8.44,4.86,1.2,0.02,0.0,0.0,0.0,0.0,0.39,3.29,8.03,9.98,3.02
ALLSKY_SFC_SW_DWN,2003,8.86,5.05,1.15,0.01,0.0,0.0,0.0,0.0,0.35,3.14,7.76,10.06,3.03
ALLSKY_SFC_SW_DWN,2004,9.06,4.82,1.03,0.01,0.0,0.0,0.0,0.0,0.46,3.44,7.65,10.16,3.05
ALLSKY_SFC_SW_DWN,2005,9.1,4.54,1.09,0.01,0.0,0.0,0.0,0.0,0.41,3.08,7.59,10.18,3.0
ALLSKY_SFC_SW_DWN,2006,8.77,4.94,1.11,0.01,0.0,0.0,0.0,0.0,0.43,2.98,7.3,9.64,2.93
ALLSKY_SFC_SW_DWN,2007,8.67,4.96,1.14,0.01,0.0,0.0,0.0,0.0,0.39,3.38,8.01,9.47,3.0
ALLSKY_SFC_SW_DWN,2008,8.92,4.89,1.1,0.01,0.0,0.0,0.0,0.0,0.39,3.45,7.82,10.11,3.06
ALLSKY_SFC_SW_DWN,2009,8.74,4.88,1.14,0.01,0.0,0.0,0.0,0.0,0.4,3.18,7.6,9.74,2.97
ALLSKY_SFC_SW_DWN,2010,8.75,4.86,1.1,0.01,0.0,0.0,0.0,0.0,0.38,3.3,7.31,9.71,2.95
ALLSKY_SFC_SW_DWN,2011,8.6,4.86,1.16,0.02,0.0,0.0,0.0,0.0,0.39,3.29,7.61,10.27,3.02
ALLSKY_SFC_SW_DWN,2012,8.68,5.1,1.06,0.01,0.0,0.0,0.0,0.0,0.42,3.4,7.63,10.27,3.05
ALLSKY_SFC_SW_DWN,2013,9.05,4.98,1.11,0.01,0.0,0.0,0.0,0.0,0.4,3.28,7.32,10.44,3.05
ALLSKY_SFC_SW_DWN,2014,8.62,5.13,1.14,0.01,0.0,0.0,0.0,0.0,0.4,3.22,7.67,10.33,3.04
ALLSKY_SFC_SW_DWN,2015,8.54,5.23,1.11,0.01,0.0,0.0,0.0,0.0,0.37,3.23,6.99,9.52,2.92
ALLSKY_SFC_SW_DWN,2016,9.13,4.98,1.11,0.01,0.0,0.0,0.0,0.0,0.42,3.14,7.87,9.83,3.04
ALLSKY_SFC_SW_DWN,2017,8.36,4.89,1.16,0.01,0.0,0.0,0.0,0.0,0.42,3.22,7.39,10.44,2.99
ALLSKY_SFC_SW_DWN,2018,8.9,5.19,1.09,0.01,0.0,0.0,0.0,0.0,0.38,3.21,7.21,9.21,2.93
ALLSKY_SFC_SW_DWN,2019,9.1,4.96,1.15,0.01,0.0,0.0,0.0,0.0,0.38,3.22,7.32,10.34,3.04
ALLSKY_SFC_SW_DWN,2020,8.68,4.57,1.04,0.01,0.0,0.0,0.0,0.0,0.44,3.32,7.3,9.75,2.93
ALLSKY_SFC_SW_DWN,2021,9.03,4.7,1.06,0.01,0.0,0.0,0.0,0.0,0.44,3.39,7.54,9.56,2.98
ALLSKY_SFC_SW_DWN,2022,8.34,4.77,1.08,0.01,0.0,0.0,0.0,0.0,0.43,3.33,7.95,10.19,3.01
ALLSKY_SFC_SW_DWN,2023,8.84,4.47,1.16,0.01,0.0,0.0,0.0,0.0,0.38,3.26,7.11,9.64,2.91
PRECTOTCORR,2000,0.25,0.26,0.42,0.25,0.15,0.38,0.64,0.08,0.44,0.44,0.52,0.26,0.34
PRECTOTCORR,2001,0.14,0.05,0.18,0.2,0.34,0.18,0.14,0.5,0.72,0.44,0.43,0.69,0.33
PRECTOTCORR,2002,0.53,0.42,0.31,0.57,0.49,0.16,0.53,0.52,0.28,0.52,0.11,0.16,0.38
PRECTOTCORR,2003,0.11,0.3,0.27,0.69,0.35,0.14,0.28,0.32,0.5,0.69,0.17,0.25,0.34
PRECTOTCORR,2004,0.14,0.24,0.63,0.74,0.63,0.52,0.27,0.42,0.81,0.66,0.4,0.14,0.47
PRECTOTCORR,2005,0.14,1.04,0.35,0.73,0.43,0.32,0.19,0.37,0.6,0.97,0.7,0.32,0.51
PRECTOTCORR,2006,0.33,0.16,0.29,0.61,0.61,0.42,0.7,0.13,0.2,0.39,0.39,0.13,0.36
PRECTOTCORR,2007,0.26,0.12,0.23,0.32,0.41,0.56,0.66,0.28,0.67,0.21,0.1,0.83,0.39
PRECTOTCORR,2008,0.08,0.25,0.05,0.33,0.48,0.31,0.44,0.69,0.74,0.19,0.12,0.32,0.33
PRECTOTCORR,2009,0.15,0.1,0.25,0.33,0.45,0.22,0.25,0.36,0.67,0.35,0.26,0.22,0.3
PRECTOTCORR,2010,0.33,0.18,0.42,0.21,0.52,0.6,0.65,0.43,0.35,0.4,1.33,0.38,0.48
PRECTOTCORR,2011,0.25,0.16,0.2,0.25,0.32,0.37,0.39,0.54,0.38,0.24,0.68,0.12,0.32
PRECTOTCORR,2012,0.21,0.42,0.29,0.37,0.44,0.44,0.57,0.17,0.38,0.2,0.24,0.14,0.32
PRECTOTCORR,2013,0.06,0.44,0.31,0.46,0.16,0.72,0.37,0.68,0.53,0.23,0.55,0.08,0.38
PRECTOTCORR,2014,0.23,0.16,0.15,1.02,0.68,0.66,0.5,0.36,0.32,0.75,0.18,0.11,0.43
PRECTOTCORR,2015,0.19,0.16,0.38,0.33,0.46,0.4,0.43,0.29,0.35,0.64,0.84,0.89,0.45
PRECTOTCORR,2016,0.11,0.59,0.12,0.2,0.68,0.33,0.21,0.23,0.54,0.35,0.31,0.33,0.33
PRECTOTCORR,2017,0.35,0.36,0.22,0.16,0.27,0.46,0.46,0.48,0.86,0.21,0.55,0.1,0.37
PRECTOTCORR,2018,0.12,0.08,0.97,0.19,0.53,0.59,0.34,0.3,0.21,0.5,0.56,0.9,0.44
PRECTOTCORR,2019,0.12,0.45,0.23,0.37,0.53,0.55,0.47,0.52,0.49,0.3,0.62,0.09,0.39
PRECTOTCORR,2020,0.16,0.2,0.39,0.64,0.61,0.68,0.37,0.12,0.21,0.38,0.49,0.5,0.4
PRECTOTCORR,2021,0.08,0.32,0.4,0.16,0.56,0.23,0.31,0.28,0.35,0.27,0.26,0.78,0.33
PRECTOTCORR,2022,0.59,1.1,0.17,0.26,0.51,1.34,0.55,0.66,0.38,0.36,0.14,0.46,0.54
PRECTOTCORR,2023,0.14,0.52,0.71,0.53,0.83,0.18,0.26,0.38,0.48,0.23,0.69,0.39,0.45
PS,2000,79.27,79.53,79.78,79.24,79.08,79.48,79.26,79.09,79.45,78.82,79.81,80.49,79.44
PS,2001,79.99,80.26,79.35,78.92,79.51,79.26,79.37,78.0,78.51,78.16,79.04,79.21,79.13
PS,2002,79.73,79.12,79.84,79.08,80.03,79.21,79.1,78.4,79.59,79.75,79.46,79.47,79.4
PS,2003,80.62,80.14,79.55,79.05,79.31,79.81,78.91,78.3,78.75,78.86,79.3,80.55,79.43
PS,2004,79.65,80.13,79.06,79.42,79.01,78.71,77.93,78.24,78.65,78.87,79.44,80.3,79.12
PS,2005,80.13,79.04,79.33,78.81,79.25,79.75,79.01,78.46,79.13,78.89,79.4,80.78,79.33
