-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2023 in LST
Location: Latitude  -82.5   Longitude 0.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2221.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,9.19,5.0,1.18,0.02,0.0,0.0,0.0,0.0,0.51,3.64,7.85,10.15,3.13
ALLSKY_SFC_SW_DWN,2001,9.5,5.25,1.22,0.01,0.0,0.0,0.0,0.0,0.55,3.17,7.92,10.36,3.16
ALLSKY_SFC_SW_DWN,2002,8.84,5.23,1.11,0.02,0.0,0.0,0.0,0.0,0.49,3.14,7.89,10.19,3.08
ALLSKY_SFC_SW_DWN,2003,9.55,5.14,1.12,0.02,0.0,0.0,0.0,0.0,0.49,3.29,7.46,10.89,3.16
ALLSKY_SFC_SW_DWN,2004,8.83,5.09,1.27,0.02,0.0,0.0,0.0,0.0,0.5,3.42,7.95,10.8,3.16
ALLSKY_SFC_SW_DWN,2005,9.13,4.88,1.23,0.01,0.0,0.0,0.0,0.0,0.55,3.54,8.01,10.61,3.16
ALLSKY_SFC_SW_DWN,2006,8.98,5.08,1.21,0.02,0.0,0.0,0.0,0.0,0.49,3.19,7.49,10.16,3.05
ALLSKY_SFC_SW_DWN,2007,9.37,5.02,1.28,0.02,0.0,0.0,0.0,0.0,0.48,3.4,7.41,10.55,3.13
ALLSKY_SFC_SW_DWN,2008,9.31,4.92,1.2,0.02,0.0,0.0,0.0,0.0,0.56,3.5,7.88,11.08,3.21
ALLSKY_SFC_SW_DWN,2009,9.27,5.06,1.2,0.02,0.0,0.0,0.0,0.0,0.54,3.52,8.56,9.88,3.17
ALLSKY_SFC_SW_DWN,2010,9.3,5.23,1.25,0.02,0.0,0.0,0.0,0.0,0.43,3.58,7.88,10.54,3.19
ALLSKY_SFC_SW_DWN,2011,9.37,5.08,1.24,0.02,0.0,0.0,0.0,0.0,0.42,3.26,8.54,10.8,3.23
ALLSKY_SFC_SW_DWN,2012,9.3,4.91,1.15,0.01,0.0,0.0,0.0,0.0,0.52,3.35,8.14,10.42,3.15
ALLSKY_SFC_SW_DWN,2013,8.77,4.69,1.31,0.02,0.0,0.0,0.0,0.0,0.49,3.36,8.23,10.3,3.1
ALLSKY_SFC_SW_DWN,2014,9.17,4.95,1.35,0.02,0.0,0.0,0.0,0.0,0.51,3.33,8.31,10.63,3.19
ALLSKY_SFC_SW_DWN,2015,9.77,5.1,1.27,0.02,0.0,0.0,0.0,0.0,0.5,3.3,7.84,10.13,3.16
ALLSKY_SFC_SW_DWN,2016,9.36,5.17,1.16,0.01,0.0,0.0,0.0,0.0,0.49,3.45,8.44,10.16,3.19
ALLSKY_SFC_SW_DWN,2017,9.55,5.19,1.19,0.01,0.0,0.0,0.0,0.0,0.44,3.41,7.75,10.29,3.15
ALLSKY_SFC_SW_DWN,2018,9.32,4.89,1.22,0.02,0.0,0.0,0.0,0.0,0.49,3.6,7.44,10.38,3.11
