YEAR,Month,ALLSKY_SFC_SW_DWN,PRECTOTCORR,PS,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,WS10M,Date,Latitude,Longitude,T2MDEW
2000,4,0.39,1.54,98.07,91.01,-13.64,-14.32,-3.97,-21.73,9.67,2000-04-15,-72.5,-180.0,
2000,8,0.27,0.94,98.55,93.68,-19.27,-19.68,-6.27,-30.85,7.76,2000-08-15,-72.5,-180.0,
2000,12,6.96,0.77,99.93,85.02,-2.23,-3.4,-0.29,-5.0,5.57,2000-12-15,-72.5,-180.0,
2000,2,2.66,1.52,98.27,80.45,-2.39,-3.92,0.24,-6.21,7.4,2000-02-15,-72.5,-180.0,
2000,1,4.8,0.62,98.24,78.57,-1.84,-3.52,-0.49,-3.39,6.75,2000-01-15,-72.5,-180.0,
2000,7,0.0,1.63,98.52,92.71,-18.64,-19.09,-4.0,-25.68,8.64,2000-07-15,-72.5,-180.0,
2000,6,0.0,0.51,98.96,94.64,-21.2,-21.5,-10.28,-28.45,6.34,2000-06-15,-72.5,-180.0,
2000,3,1.57,1.45,98.51,80.98,-4.59,-6.09,-1.0,-8.76,8.04,2000-03-15,-72.5,-180.0,
2000,5,0.01,2.03,98.3,93.48,-15.54,-16.04,-6.55,-24.8,7.84,2000-05-15,-72.5,-180.0,
2000,11,6.73,1.23,98.03,84.5,-5.23,-6.45,-0.27,-13.24,7.96,2000-11-15,-72.5,-180.0,
2000,10,4.4,1.15,97.84,86.03,-13.04,-14.06,-5.98,-22.97,7.08,2000-10-15,-72.5,-180.0,
2000,9,1.8,1.43,99.07,91.61,-16.53,-17.09,-6.91,-27.17,7.14,2000-09-15,-72.5,-180.0,
2001,4,0.49,2.87,98.1,94.02,-15.59,-16.05,-3.22,-23.94,7.59,2001-04-15,-72.5,-180.0,
2001,8,0.19,1.6,98.57,97.94,-23.11,-23.16,-3.94,-37.43,6.9,2001-08-15,-72.5,-180.0,
2001,12,5.37,2.0,97.95,87.55,-1.76,-2.73,0.09,-5.56,6.48,2001-12-15,-72.5,-180.0,
2001,2,3.96,1.22,99.29,83.4,-3.39,-4.7,-0.58,-6.35,5.8,2001-02-15,-72.5,-180.0,
2001,1,5.72,1.6,99.53,88.44,-2.12,-3.03,0.04,-5.52,5.26,2001-01-15,-72.5,-180.0,
2001,7,0.0,0.8,98.79,93.07,-18.62,-19.05,-10.19,-27.08,8.11,2001-07-15,-72.5,-180.0,
2001,6,0.0,1.25,98.28,93.64,-17.25,-17.69,-5.32,-27.93,7.99,2001-06-15,-72.5,-180.0,
2001,3,1.75,1.89,98.72,89.96,-10.39,-11.22,-1.05,-23.46,7.95,2001-03-15,-72.5,-180.0,
2001,5,0.01,0.47,98.9,93.33,-19.17,-19.58,-10.45,-25.87,6.58,2001-05-15,-72.5,-180.0,
2001,11,6.61,1.18,97.79,81.97,-6.01,-7.43,-0.98,-12.96,5.88,2001-11-15,-72.5,-180.0,
2001,10,3.83,1.62,97.47,82.67,-11.36,-12.63,-1.28,-19.06,7.04,2001-10-15,-72.5,-180.0,
2001,9,1.68,0.28,98.26,88.67,-20.23,-20.87,-15.37,-26.6,5.25,2001-09-15,-72.5,-180.0,
2002,4,0.32,1.07,98.02,91.56,-12.51,-13.18,-1.25,-21.47,8.85,2002-04-15,-72.5,-180.0,
2002,8,0.21,0.75,98.24,96.24,-25.48,-25.68,-13.99,-35.52,6.62,2002-08-15,-72.5,-180.0,
2002,12,6.82,1.42,98.17,86.42,-2.77,-3.83,0.03,-10.56,7.01,2002-12-15,-72.5,-180.0,
2002,2,3.2,1.62,98.23,77.86,-2.41,-4.14,-0.28,-5.9,6.34,2002-02-15,-72.5,-180.0,
2002,1,4.56,1.16,98.62,86.27,-1.21,-2.27,1.51,-2.61,5.69,2002-01-15,-72.5,-180.0,
2002,7,0.0,0.72,99.23,95.66,-22.5,-22.73,-10.77,-32.64,6.5,2002-07-15,-72.5,-180.0,
2002,6,0.0,3.57,99.02,97.38,-15.6,-15.86,-5.04,-27.52,9.9,2002-06-15,-72.5,-180.0,
2002,3,1.19,2.81,99.02,85.5,-3.91,-5.07,-0.16,-11.22,9.09,2002-03-15,-72.5,-180.0,
2002,5,0.01,2.67,98.88,91.83,-12.62,-13.28,-1.62,-18.19,9.82,2002-05-15,-72.5,-180.0,
2002,11,6.23,1.44,98.55,88.01,-4.19,-5.15,0.21,-12.16,5.43,2002-11-15,-72.5,-180.0,
2002,10,3.64,2.36,99.07,89.11,-10.43,-11.31,-1.57,-17.03,6.89,2002-10-15,-72.5,-180.0,
2002,9,1.59,1.96,98.42,93.14,-14.11,-14.67,-4.47,-20.64,8.22,2002-09-15,-72.5,-180.0,
2003,4,0.6,0.99,98.04,93.97,-20.01,-20.37,-13.79,-25.35,6.78,2003-04-15,-72.5,-180.0,
2003,8,0.18,1.39,98.33,96.54,-23.81,-23.97,-3.65,-31.32,6.62,2003-08-15,-72.5,-180.0,
2003,12,6.32,1.63,99.41,85.03,-1.78,-2.94,0.38,-5.46,5.76,2003-12-15,-72.5,-180.0,
2003,2,2.41,1.4,99.17,83.87,-3.31,-4.57,-0.69,-8.9,8.44,2003-02-15,-72.5,-180.0,
2003,1,4.54,1.51,99.25,89.95,-1.61,-2.4,-0.02,-4.27,6.05,2003-01-15,-72.5,-180.0,
2003,7,0.0,1.27,97.96,91.33,-19.64,-20.15,-10.51,-30.47,8.75,2003-07-15,-72.5,-180.0,
2003,6,0.0,1.55,99.07,93.91,-17.98,-18.39,-11.39,-25.23,9.38,2003-06-15,-72.5,-180.0,
2003,3,1.98,1.97,98.71,90.29,-11.5,-12.3,-2.87,-18.51,7.37,2003-03-15,-72.5,-180.0,
2003,5,0.01,1.59,97.36,91.41,-17.01,-17.59,-9.6,-25.01,9.85,2003-05-15,-72.5,-180.0,
2003,11,6.15,2.93,97.76,87.38,-5.38,-6.41,-0.31,-12.85,7.9,2003-11-15,-72.5,-180.0,
2003,10,3.93,0.9,97.71,80.57,-13.13,-14.5,-7.0,-20.37,7.07,2003-10-15,-72.5,-180.0,
2003,9,1.54,1.69,97.88,93.94,-19.06,-19.44,-2.51,-29.67,7.89,2003-09-15,-72.5,-180.0,
2004,4,0.43,0.69,98.52,93.95,-17.05,-17.45,-5.31,-25.22,5.93,2004-04-15,-72.5,-180.0,
2004,8,0.19,1.33,98.59,96.9,-22.02,-22.19,-10.13,-32.92,8.14,2004-08-15,-72.5,-180.0,
2004,12,6.37,0.53,99.52,86.58,-1.88,-2.93,1.49,-5.87,4.59,2004-12-15,-72.5,-180.0,
2004,2,2.92,3.27,99.43,84.79,-2.91,-4.11,0.37,-8.11,7.76,2004-02-15,-72.5,-180.0,
2004,1,4.0,2.44,98.63,86.62,-1.75,-2.79,-0.43,-4.42,6.21,2004-01-15,-72.5,-180.0,
2004,7,0.0,1.39,97.97,98.34,-25.56,-25.54,-3.1,-34.56,9.01,2004-07-15,-72.5,-180.0,
2004,6,0.0,1.46,98.08,94.29,-18.34,-18.71,-9.03,-25.8,8.52,2004-06-15,-72.5,-180.0,
2004,3,1.78,2.45,98.46,90.6,-10.62,-11.42,-1.89,-18.71,8.19,2004-03-15,-72.5,-180.0,
2004,5,0.0,0.88,98.61,95.12,-21.34,-21.61,-7.45,-28.93,6.42,2004-05-15,-72.5,-180.0,
2004,11,6.48,1.07,97.98,83.57,-5.71,-6.99,-0.08,-13.02,7.01,2004-11-15,-72.5,-180.0,
2004,10,3.82,0.66,98.08,85.36,-13.98,-15.02,-6.96,-25.06,7.14,2004-10-15,-72.5,-180.0,
2004,9,1.72,1.17,98.5,93.97,-19.36,-19.74,-5.26,-28.8,8.17,2004-09-15,-72.5,-180.0,
2005,4,0.41,1.0,98.38,92.28,-17.63,-18.15,-11.4,-27.36,6.58,2005-04-15,-72.5,-180.0,
2005,8,0.15,2.03,97.71,95.39,-18.6,-18.85,-4.96,-31.02,7.96,2005-08-15,-72.5,-180.0,
2005,12,5.38,1.9,99.64,88.78,-1.57,-2.44,-0.05,-6.41,6.16,2005-12-15,-72.5,-180.0,
2005,2,2.91,1.7,98.25,80.57,-2.4,-3.91,-0.03,-5.57,6.7,2005-02-15,-72.5,-180.0,
2005,1,4.2,1.46,98.71,86.02,-1.47,-2.54,0.27,-3.71,5.78,2005-01-15,-72.5,-180.0,
2005,7,0.0,1.6,98.22,95.52,-16.53,-16.85,-4.37,-23.96,9.02,2005-07-15,-72.5,-180.0,
2005,6,0.0,2.41,98.72,95.08,-16.06,-16.38,-4.65,-25.61,9.04,2005-06-15,-72.5,-180.0,
2005,3,1.3,1.32,98.46,83.26,-7.52,-8.84,-2.34,-16.23,8.13,2005-03-15,-72.5,-180.0,
