-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2023 in LST
Location: Latitude  -77.85   Longitude 166.67 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 140.42 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,8.47,5.29,1.93,0.13,0.0,0.0,0.0,0.03,1.15,4.78,7.69,9.13,3.22
ALLSKY_SFC_SW_DWN,2001,8.09,4.46,1.64,0.15,0.0,0.0,0.0,0.02,1.03,3.79,7.38,9.48,3.0
ALLSKY_SFC_SW_DWN,2002,7.69,4.37,1.58,0.15,0.0,0.0,0.0,0.02,0.91,3.71,7.29,8.68,2.87
ALLSKY_SFC_SW_DWN,2003,7.62,4.94,1.66,0.15,0.0,0.0,0.0,0.02,0.8,3.38,7.02,9.1,2.89
ALLSKY_SFC_SW_DWN,2004,7.94,4.96,1.57,0.14,0.0,0.0,0.0,0.02,0.9,3.74,7.31,9.26,2.99
ALLSKY_SFC_SW_DWN,2005,7.9,4.93,1.69,0.14,0.0,0.0,0.0,0.02,0.96,3.81,7.36,9.12,2.99
ALLSKY_SFC_SW_DWN,2006,8.42,4.88,1.48,0.16,0.0,0.0,0.0,0.02,0.8,3.52,7.28,9.19,2.98
ALLSKY_SFC_SW_DWN,2007,7.92,4.35,1.64,0.15,0.0,0.0,0.0,0.02,0.84,3.5,6.81,8.78,2.84
ALLSKY_SFC_SW_DWN,2008,7.68,4.43,1.46,0.15,0.0,0.0,0.0,0.03,0.99,3.72,7.71,9.75,2.99
ALLSKY_SFC_SW_DWN,2009,8.04,4.49,1.52,0.14,0.0,0.0,0.0,0.03,1.01,3.58,7.06,8.53,2.87
ALLSKY_SFC_SW_DWN,2010,7.44,4.21,1.45,0.15,0.0,0.0,0.0,0.02,0.93,3.58,7.41,9.01,2.85
ALLSKY_SFC_SW_DWN,2011,7.54,4.6,1.57,0.15,0.0,0.0,0.0,0.02,0.89,3.73,7.18,8.9,2.88
ALLSKY_SFC_SW_DWN,2012,7.87,4.57,1.54,0.15,0.0,0.0,0.0,0.02,0.91,3.57,7.37,8.57,2.88
ALLSKY_SFC_SW_DWN,2013,7.68,4.6,1.52,0.15,0.0,0.0,0.0,0.02,0.97,3.62,7.11,9.05,2.89
ALLSKY_SFC_SW_DWN,2014,7.89,4.17,1.53,0.16,0.0,0.0,0.0,0.02,0.87,3.34,6.97,9.22,2.85
ALLSKY_SFC_SW_DWN,2015,7.78,4.46,1.62,0.16,0.0,0.0,0.0,0.02,0.79,3.38,7.15,9.21,2.88
ALLSKY_SFC_SW_DWN,2016,7.46,4.53,1.52,0.14,0.0,0.0,0.0,0.02,1.01,3.92,7.59,9.44,2.97
ALLSKY_SFC_SW_DWN,2017,8.38,4.76,1.46,0.16,0.0,0.0,0.0,0.02,1.01,3.42,7.18,8.92,2.94
ALLSKY_SFC_SW_DWN,2018,7.81,4.48,1.45,0.16,0.0,0.0,0.0,0.02,0.87,3.3,7.05,8.79,2.83
ALLSKY_SFC_SW_DWN,2019,7.47,4.29,1.53,0.16,0.0,0.0,0.0,0.02,0.85,3.47,6.95,8.43,2.76
ALLSKY_SFC_SW_DWN,2020,7.4,4.23,1.51,0.14,0.0,0.0,0.0,0.02,0.92,3.68,7.24,9.36,2.88
ALLSKY_SFC_SW_DWN,2021,7.15,4.19,1.46,0.14,0.0,0.0,0.0,0.02,0.95,3.82,7.19,9.42,2.86
ALLSKY_SFC_SW_DWN,2022,7.71,4.27,1.56,0.14,0.0,0.0,0.0,0.03,0.85,3.58,7.35,8.77,2.85
ALLSKY_SFC_SW_DWN,2023,8.17,4.56,1.67,0.18,0.0,0.0,0.0,0.02,0.84,3.54,7.21,9.16,2.95
PRECTOTCORR,2000,0.13,0.82,0.3,0.49,0.42,0.35,0.12,0.35,0.6,0.34,0.88,0.4,0.43
PRECTOTCORR,2001,0.16,0.32,0.13,0.52,0.29,0.49,0.38,0.13,0.16,0.13,0.36,0.88,0.33
PRECTOTCORR,2002,0.21,0.19,0.44,0.17,0.59,0.24,0.13,0.3,0.29,0.28,0.62,1.06,0.38
PRECTOTCORR,2003,1.08,0.16,0.3,0.49,0.53,0.52,0.29,0.13,0.55,0.36,0.39,0.88,0.47
PRECTOTCORR,2004,0.06,0.05,0.19,0.49,0.31,0.14,0.08,0.08,0.17,0.11,0.17,0.41,0.19
PRECTOTCORR,2005,1.13,0.38,0.15,0.27,0.54,1.08,0.38,0.26,0.1,0.13,0.18,0.86,0.46
PRECTOTCORR,2006,0.15,0.92,0.19,0.1,0.21,0.67,0.06,0.52,0.76,0.3,0.19,0.24,0.36
PRECTOTCORR,2007,0.14,0.53,0.15,0.29,0.18,0.17,0.24,0.16,0.41,0.25,0.27,0.48,0.27
PRECTOTCORR,2008,1.0,0.47,0.45,0.24,0.13,1.06,0.11,0.04,0.24,0.4,0.03,0.08,0.35
PRECTOTCORR,2009,0.12,0.19,0.1,1.99,0.04,0.11,0.28,0.19,0.09,0.12,0.97,0.24,0.37
PRECTOTCORR,2010,0.17,0.32,0.33,0.39,0.11,0.08,0.18,0.23,0.26,0.11,0.04,0.18,0.2
PRECTOTCORR,2011,0.35,0.74,0.25,0.76,0.4,0.48,0.91,0.66,0.45,0.33,0.37,0.31,0.5
PRECTOTCORR,2012,0.22,0.55,0.29,0.27,0.48,0.09,0.26,0.67,0.36,0.41,0.09,0.32,0.33
PRECTOTCORR,2013,0.66,0.45,0.58,0.41,0.57,0.07,0.2,0.11,0.15,0.32,0.09,0.06,0.31
PRECTOTCORR,2014,0.08,0.26,0.24,0.13,0.48,0.17,0.04,0.96,0.46,0.73,0.12,0.08,0.31
PRECTOTCORR,2015,0.35,0.63,0.08,0.17,0.11,0.15,0.17,0.4,0.14,0.18,0.12,0.11,0.22
PRECTOTCORR,2016,0.62,0.05,0.3,0.31,0.17,0.27,0.14,0.2,0.09,0.15,0.11,0.23,0.22
PRECTOTCORR,2017,0.7,0.14,0.36,0.33,0.4,0.24,0.15,0.68,0.09,0.57,0.18,0.34,0.35
PRECTOTCORR,2018,0.42,0.53,0.32,0.26,0.19,0.26,0.23,0.13,0.42,0.47,0.08,0.16,0.29
PRECTOTCORR,2019,0.28,0.82,0.33,0.21,0.33,0.37,0.12,0.57,0.23,0.18,0.12,0.38,0.33
PRECTOTCORR,2020,0.35,0.91,0.73,0.11,0.18,0.2,0.31,0.68,1.12,0.17,0.03,0.02,0.4
PRECTOTCORR,2021,0.48,0.36,0.62,0.2,0.61,0.25,0.3,0.07,0.36,0.04,0.1,0.06,0.29
PRECTOTCORR,2022,0.3,0.48,0.32,0.35,0.48,0.04,0.25,0.12,0.13,0.08,0.17,0.13,0.24
PRECTOTCORR,2023,0.49,0.17,0.13,0.19,0.17,0.23,0.1,0.17,0.31,0.18,0.12,0.16,0.2
PS,2000,96.69,97.16,97.26,97.18,97.15,97.4,97.04,97.25,97.78,96.45,97.03,98.41,97.24
PS,2001,97.95,97.72,97.29,96.8,97.32,97.03,97.52,97.04,96.65,96.07,96.45,96.48,97.03
PS,2002,97.16,96.66,97.92,96.95,98.01,98.23,97.56,96.7,97.33,97.83,97.2,96.64,97.35
PS,2003,97.91,97.85,97.43,96.68,96.61,98.19,96.82,96.6,96.74,96.28,97.03,98.15,97.19
PS,2004,97.29,98.34,97.37,96.87,97.16,96.76,96.68,96.99,96.99,96.84,96.54,97.85,97.14
PS,2005,97.52,96.77,97.23,96.8,96.91,97.75,97.01,96.58,96.53,96.11,96.81,98.29,97.03
PS,2006,97.43,97.38,97.41,97.53,96.51,97.03,96.6,97.96,97.27,96.53,96.78,97.21,97.14
PS,2007,97.51,97.23,97.87,97.4,97.55,97.52,98.59,96.93,96.76,97.12,97.17,96.59,97.35
PS,2008,96.98,96.95,97.37,97.51,97.32,96.68,96.94,97.14,96.21,96.33,96.75,96.87,96.92
PS,2009,96.97,97.49,97.12,97.28,97.91,97.96,98.04,97.74,97.28,96.65,97.28,97.17,97.41
PS,2010,98.47,98.01,97.39,97.01,97.17,96.65,95.94,96.32,96.98,96.41,96.37,97.79,97.05
PS,2011,97.99,97.41,97.89,97.75,96.76,97.6,97.36,97.62,97.79,96.73,97.57,96.54,97.42
PS,2012,96.65,97.36,97.22,97.07,96.9,98.0,96.9,97.24,96.93,96.71,97.72,97.75,97.21
PS,2013,97.59,96.81,96.54,97.23,97.3,98.39,96.97,97.96,97.94,97.12,96.93,97.34,97.34
PS,2014,97.75,97.31,97.18,96.9,97.21,97.08,97.29,96.39,97.29,96.16,97.35,97.09,97.08
PS,2015,97.3,96.64,97.09,96.89,97.31,97.4,96.59,96.7,96.46,96.73,96.57,97.42,96.93
PS,2016,96.82,96.99,96.75,97.3,97.18,96.62,97.6,97.78,96.07,96.75,97.9,97.61,97.11
PS,2017,98.03,97.66,97.72,97.1,96.57,97.02,96.91,96.48,96.61,97.0,96.38,97.14,97.05
PS,2018,97.1,97.05,97.24,97.56,97.25,97.62,97.18,97.82,96.28,96.15,96.49,97.0,97.06
PS,2019,97.33,97.57,97.33,97.03,97.38,96.18,97.65,97.15,96.15,97.01,97.93,98.2,97.24
PS,2020,97.86,97.1,96.76,97.06,96.81,96.7,97.22,97.47,97.24,96.19,96.56,96.51,96.96
